,region_group,income_group,country,survey,year,level,grade,category,Sex,Location,Wealth,Region,Ethnicity,Religion,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,comp_prim_v2_m,comp_prim_v2_no,comp_prim_1524_m,comp_prim_1524_no,trans_prim_m,trans_prim_no,comp_lowsec_v2_m,comp_lowsec_v2_no,comp_lowsec_1524_m,comp_lowsec_1524_no,trans_lowsec_m,trans_lowsec_no,comp_upsec_v2_m,comp_upsec_v2_no,comp_upsec_2029_m,comp_upsec_2029_no,comp_higher_2529_2yrs_m,comp_higher_2529_2yrs_no,comp_higher_2529_4yrs_m,comp_higher_2529_4yrs_no,comp_higher_3034_4yrs_m,comp_higher_3034_4yrs_no,enrol_higher_1822_m,enrol_higher_1822_no,edu_out_pry_m,edu_out_pry_no,edu_out_lowsec_m,edu_out_lowsec_no,edu_out_upsec_m,edu_out_upsec_no,overage2plus_m,overage2plus_no,edu2_20_m,edu2_20_no,edu4_20_m,edu4_20_no,eduyears_20_m,eduyears_20_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,rlevel1_m,rlevel1_no,slevel1_no,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_no,iso_code
4304,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9790940880775452,287.0,0.982332170009613,283.0,0.0,0.9268292784690857,287.0,0.9257950782775879,283.0,0.0,0.7944250702857971,287.0,0.8233215808868408,283.0,0.0,0.4843205511569977,287.0,0.6254416704177856,283.0,0.0,PAK
4305,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,1.0,41.0,0.0,0.9024389982223511,41.0,0.8780487775802612,41.0,0.0,0.7804877758026123,41.0,0.8292682766914368,41.0,0.0,0.4878048896789551,41.0,0.6341463327407837,41.0,0.0,PAK
4308,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,51.0,1.0,51.0,0.0,0.9803921580314636,51.0,1.0,51.0,0.0,0.7843137383460999,51.0,0.8823529481887817,51.0,0.0,0.6274510025978088,51.0,0.7058823704719543,51.0,0.0,PAK
4309,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9506726264953613,223.0,0.9684684872627258,222.0,0.0,0.9237667918205261,223.0,0.9009009003639221,222.0,0.0,0.7219731211662292,223.0,0.7342342138290405,222.0,0.0,0.4170403480529785,223.0,0.5045045018196106,222.0,0.0,PAK
4310,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,53.0,0.9615384340286255,52.0,0.0,0.9056603908538818,53.0,0.8846153616905212,52.0,0.0,0.2641509473323822,53.0,0.3461538553237915,52.0,0.0,0.07547169923782349,53.0,0.13461539149284363,52.0,0.0,PAK
4313,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,1.0,46.0,0.0,1.0,45.0,1.0,46.0,0.0,0.800000011920929,45.0,0.760869562625885,46.0,0.0,0.4000000059604645,45.0,0.3913043439388275,46.0,0.0,PAK
4314,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Female,,,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9228028655052185,842.0,0.9451074004173279,838.0,0.0,0.8432304263114929,842.0,0.8448687195777893,838.0,0.0,0.6057007312774658,842.0,0.656324565410614,838.0,0.0,0.32185274362564087,842.0,0.42243435978889465,838.0,0.0,PAK
4315,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9713261723518372,279.0,0.9820788502693176,279.0,0.0,0.9534050226211548,279.0,0.9498208165168762,279.0,0.0,0.8136200904846191,279.0,0.8100358247756958,279.0,0.0,0.4050179123878479,279.0,0.5698924660682678,279.0,0.0,PAK
4325,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9905063509941101,316.0,0.9904153347015381,313.0,0.0,0.9715189933776855,316.0,0.9648562073707581,313.0,0.0,0.857594907283783,316.0,0.8530351519584656,313.0,0.0,0.550632894039154,316.0,0.5718849897384644,313.0,0.0,PAK
4327,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9496855139732361,159.0,0.9308176040649414,159.0,0.0,0.7547169923782349,159.0,0.698113203048706,159.0,0.0,0.2704402506351471,159.0,0.30817610025405884,159.0,0.0,0.050314463675022125,159.0,0.10691823810338974,159.0,0.0,PAK
4331,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8723404407501221,47.0,0.8297872543334961,47.0,0.0,0.6808510422706604,47.0,0.5531914830207825,47.0,0.0,0.06382978707551956,47.0,0.08510638028383255,47.0,0.0,0.021276595070958138,47.0,0.0,47.0,0.0,PAK
4332,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333134651184,36.0,0.8888888955116272,36.0,0.0,0.75,36.0,0.7777777910232544,36.0,0.0,0.5277777910232544,36.0,0.5555555820465088,36.0,0.0,0.2777777910232544,36.0,0.3611111044883728,36.0,0.0,PAK
4334,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9682539701461792,126.0,0.9679999947547913,125.0,0.0,0.8571428656578064,126.0,0.8080000281333923,125.0,0.0,0.3968254029750824,126.0,0.5120000243186951,125.0,0.0,0.0873015895485878,126.0,0.20800000429153442,125.0,0.0,PAK
4339,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Female,,,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95652174949646,552.0,0.9528985619544983,552.0,0.0,0.7971014380455017,552.0,0.760869562625885,552.0,0.0,0.2952898442745209,552.0,0.31521740555763245,552.0,0.0,0.07608695328235626,552.0,0.1195652186870575,552.0,0.0,PAK
4341,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9807692170143127,52.0,0.9622641801834106,53.0,0.0,0.75,52.0,0.7735849022865295,53.0,0.0,0.25,52.0,0.3207547068595886,53.0,0.0,0.07692307978868484,52.0,0.15094339847564697,53.0,0.0,PAK
4342,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Female,,,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8065476417541504,1344.0,0.8450704216957092,1349.0,0.0,0.478422611951828,1344.0,0.5151964426040649,1349.0,0.0,0.143601194024086,1344.0,0.1786508560180664,1349.0,0.0,0.0305059514939785,1344.0,0.07783543318510056,1349.0,0.0,PAK
4344,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9300699234008789,143.0,0.9366196990013123,142.0,0.0,0.7832167744636536,143.0,0.8028169274330139,142.0,0.0,0.25874125957489014,143.0,0.35211268067359924,142.0,0.0,0.04895104840397835,143.0,0.11267605423927307,142.0,0.0,PAK
4346,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9736841917037964,38.0,1.0,38.0,0.0,0.9210526347160339,38.0,0.8421052694320679,38.0,0.0,0.44736841320991516,38.0,0.3947368562221527,38.0,0.0,0.15789473056793213,38.0,0.10526315867900848,38.0,0.0,PAK
4348,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9893617033958435,94.0,1.0,93.0,0.0,0.978723406791687,94.0,0.9892473220825195,93.0,0.0,0.936170220375061,94.0,0.9032257795333862,93.0,0.0,0.585106372833252,94.0,0.6881720423698425,93.0,0.0,PAK
4353,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970588207244873,34.0,0.9722222089767456,36.0,0.0,0.9411764740943909,34.0,0.9444444179534912,36.0,0.0,0.7647058963775635,34.0,0.6944444179534912,36.0,0.0,0.1764705926179886,34.0,0.3055555522441864,36.0,0.0,PAK
4357,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8709677457809448,62.0,0.8571428656578064,63.0,0.0,0.725806474685669,62.0,0.5555555820465088,63.0,0.0,0.22580644488334656,62.0,0.2063492089509964,63.0,0.0,0.032258063554763794,62.0,0.0317460335791111,63.0,0.0,PAK
4358,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Female,,,Islamabad-Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,1.0,30.0,0.0,1.0,30.0,1.0,30.0,0.0,0.800000011920929,30.0,0.8666666746139526,30.0,0.0,0.5333333611488342,30.0,0.5,30.0,0.0,PAK
4359,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,1.0,31.0,0.0,1.0,31.0,0.9032257795333862,31.0,0.0,0.6451612710952759,31.0,0.5806451439857483,31.0,0.0,0.09677419066429138,31.0,0.22580644488334656,31.0,0.0,PAK
4366,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666666388511658,30.0,1.0,30.0,0.0,0.8999999761581421,30.0,0.8999999761581421,30.0,0.0,0.800000011920929,30.0,0.800000011920929,30.0,0.0,0.6666666865348816,30.0,0.5333333611488342,30.0,0.0,PAK
4367,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9846153855323792,65.0,0.9692307710647583,65.0,0.0,0.8615384697914124,65.0,0.7846153974533081,65.0,0.0,0.2769230902194977,65.0,0.3076923191547394,65.0,0.0,0.10769230872392654,65.0,0.10769230872392654,65.0,0.0,PAK
4368,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9189189076423645,370.0,0.9054054021835327,370.0,0.0,0.7486486434936523,370.0,0.708108127117157,370.0,0.0,0.2567567527294159,370.0,0.28108108043670654,370.0,0.0,0.054054055362939835,370.0,0.07837837934494019,370.0,0.0,PAK
4369,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Sex and Country Wealth Index Quintiles,Female,,Quintile 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9171270728111267,362.0,0.9303621053695679,359.0,0.0,0.7734806537628174,362.0,0.7325905561447144,359.0,0.0,0.27624309062957764,362.0,0.32590529322624207,359.0,0.0,0.06629834324121475,362.0,0.11142061650753021,359.0,0.0,PAK
4373,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9777777791023254,135.0,0.9926470518112183,136.0,0.0,0.9629629850387573,135.0,0.970588207244873,136.0,0.0,0.8740741014480591,135.0,0.8676470518112183,136.0,0.0,0.5629629492759705,135.0,0.720588207244873,136.0,0.0,PAK
4380,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8387096524238586,31.0,0.9354838728904724,31.0,0.0,0.774193525314331,31.0,0.8709677457809448,31.0,0.0,0.6451612710952759,31.0,0.7096773982048035,31.0,0.0,0.22580644488334656,31.0,0.3870967626571655,31.0,0.0,PAK
4389,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 4,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9696969985961914,33.0,0.9696969985961914,33.0,0.0,0.8181818127632141,33.0,0.8181818127632141,33.0,0.0,0.6666666865348816,33.0,0.6969696879386902,33.0,0.0,0.39393940567970276,33.0,0.5454545617103577,33.0,0.0,PAK
4392,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 3,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8032786846160889,61.0,0.8032786846160889,61.0,0.0,0.688524603843689,61.0,0.6393442749977112,61.0,0.0,0.13114753365516663,61.0,0.21311475336551666,61.0,0.0,0.032786883413791656,61.0,0.032786883413791656,61.0,0.0,PAK
4393,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Gilgit-Baltistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,0.9666666388511658,30.0,0.0,0.9666666388511658,30.0,0.7666666507720947,30.0,0.0,0.4000000059604645,30.0,0.2666666805744171,30.0,0.0,0.10000000149011612,30.0,0.06666667014360428,30.0,0.0,PAK
4398,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Female,,,Khyber Pakhtunkhwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9109311699867249,1482.0,0.898041844367981,1481.0,0.0,0.7462887763977051,1482.0,0.6374071836471558,1481.0,0.0,0.2132253646850586,1482.0,0.1802835911512375,1481.0,0.0,0.04048582911491394,1482.0,0.03376097232103348,1481.0,0.0,PAK
4399,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,AJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9428571462631226,35.0,0.970588207244873,34.0,0.0,0.8571428656578064,35.0,0.8235294222831726,34.0,0.0,0.34285715222358704,35.0,0.38235294818878174,34.0,0.0,0.08571428805589676,35.0,0.11764705926179886,34.0,0.0,PAK
4404,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex,Female,,,FATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9856459498405457,209.0,0.9951456189155579,206.0,0.0,0.9330143332481384,209.0,0.9368932247161865,206.0,0.0,0.7081339955329895,209.0,0.7233009934425354,206.0,0.0,0.440191388130188,209.0,0.47087377309799194,206.0,0.0,PAK
4407,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Female,,,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8906720280647278,1994.0,0.9023045897483826,1996.0,0.0,0.7036108374595642,1994.0,0.6643286347389221,1996.0,0.0,0.227181538939476,1994.0,0.2835671305656433,1996.0,0.0,0.05867602676153183,1994.0,0.10521042346954346,1996.0,0.0,PAK
4425,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 2,Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9051094651222229,137.0,0.904411792755127,136.0,0.0,0.6496350169181824,137.0,0.625,136.0,0.0,0.16058394312858582,137.0,0.20588235557079315,136.0,0.0,0.021897809579968452,137.0,0.05882352963089943,136.0,0.0,PAK
4426,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Country Total Sex,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8984287977218628,8083.0,0.8986528515815735,8091.0,0.0,0.679079532623291,8083.0,0.6302064061164856,8091.0,0.0,0.19559569656848907,8083.0,0.21319985389709473,8091.0,0.0,0.04268217086791992,8083.0,0.06587566435337067,8091.0,0.0,PAK
4430,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 1,Gilgit-Baltistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9743589758872986,39.0,0.9487179517745972,39.0,0.0,0.7948718070983887,39.0,0.7692307829856873,39.0,0.0,0.3333333432674408,39.0,0.1538461595773697,39.0,0.0,0.05128205195069313,39.0,0.025641025975346565,39.0,0.0,PAK
4432,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,5.0,Region and Sex and Wealth Index Quintiles,Female,,Quintile 5,Sindh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9818181991577148,55.0,0.9629629850387573,54.0,0.0,0.9090909361839294,55.0,0.9259259104728699,54.0,0.0,0.7272727489471436,55.0,0.8148148059844971,54.0,0.0,0.5454545617103577,55.0,0.6296296119689941,54.0,0.0,PAK
4435,Southern Asia,Lower middle income countries,Pakistan,ASER,2014.0,Primary,2.0,Region and Sex,Female,,,Gilgit-Baltistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583333134651184,456.0,0.9603524208068848,454.0,0.0,0.8333333134651184,456.0,0.7092511057853699,454.0,0.0,0.35087719559669495,456.0,0.24669604003429413,454.0,0.0,0.07236842066049576,456.0,0.08370044082403183,454.0,0.0,PAK
